#separator:tab
#html:true
#tags column:52
10:20 AM + Que horas são?	10:20 AM	Que horas são?	São dez e vinte																																																Curso::1A2 Portugues::Frases::Calendario::Horas::Que_horas_sao?
mexilhão, mexilhões	"<img src=""_mejillones.JPG"">"	mexilhão, mexilhões	o mexilhão, os mexilhões	/u mɨʃiˈʎɐ̃w̃ | uʒ mɨʃiˈʎõj̃ʃ/	/u meʃiˈʎɐ̃w̃ | uʒ meʃiˈʎõj̃s/	sm, smp	Marisco de concha preta, comum em pratos portugueses.		mussel, mussels	/ˈməsəl | ˈməsəlz/	/ˈmʌsᵊl | ˈmʌsᵊlz/	n	A type of shellfish often used as food.		mejillón, mejillones						moule		/mul/				Muschel		/ˈmʊʃl̩/				musclo						cozze												Portugues::Vocabulario::Alimentos Portugues::Vocabulario::Avanzado Vocabulary::Food
estilísta	"<img src=""_estilista.JPG"">"	estilísta	o/a estilista	/ˈɔɐ ʃtiˈliʃtɐ/	/ˈɔɐ istʃiˈlistɐ/	s m/f	Profissional que cria, desenha ou seleciona roupas e acessórios, atuando na moda.		stylist	/ˈstaɪlɪst/	/ˈstaɪlɪst/				diseñador de ropa						styliste						Stylist						estilista						stilista												Portugues::Adjetivos Curso::1A2 Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality
touro	"<img src=""_touro-cc6c3e158f495dc18c214de211b78814787befcd.JPG"">"	touro	o touro	/u ˈtoɾu/	/u ˈtoɾu/	sm			bull	/ˈbʊl/	/ˈbʊl/				toro						taureau						Stier						bou						toro												Portugues::Vocabulario::Animais Vocabulary::Animals Vocabulary::Animals::Basic Vocabulary::Farm_Animals
tigre	"<img src=""_en_tiger.JPG"">"	tigre	o tigre	/u ˈtiɡɾɨ/	/u ˈtʃiɡɾi/	sm			tiger	/ˈtʰaɪɡə˞/	/ˈtʰaɪɡə/				tigre						tigre						Tiger						tigre						tigre												Portugues::Vocabulario::Animais Vocabulary::Animals Vocabulary::Animals::Basic
toupeira	"<img src=""_mole_topo.JPG"">"	toupeira	a toupeira	/ɐ toˈpɐjɾɐ/	/a toˈpejɾɐ/	sf			mole	/ˈmoʊl/	/ˈməʊl/				topo						taupe						Maulwurf						talp						talpa												Portugues::Vocabulario::Animais Vocabulary::Animals
cansaço	"<img src=""_cancancio_cansaco.JPG"">"	cansaço	o cansaço	/u kɐ̃ˈsasu/	/u kɐ̃ˈsasu/	sm	(s.) Fadiga ou exaustão física ou mental.		tiredness	/ˈtʰaɪə˞dnɪs/	/ˈtʰaɪədnəs/	n	The state of feeling exhausted or lacking energy.		cansancio						fatigue						Müdigkeit						cansament						stanchezza												Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
constipação	"<img src=""_constipacao_resfriado.JPG"">"	constipação	a constipação	/ɐ kõʃtipɐˈsɐ̃w̃/	/a kõstʃipaˈsɐ̃w̃/	sf	Resfriado comum, congestão nasal.		cold	/ˈkʰoʊld/	/ˈkʰəʊld/	n	A common viral infection causing sneezing, runny nose, and sore throat.		resfriado						rhume						Erkältung						constipat/raffreddore																		Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
doença	"<img src=""_doenca_enfermedades.JPG"">"	doença	a doença	/ɐ duˈẽsɐ/	/a doˈẽsɐ/	sf	Alteração da saúde; enfermidade.		disease	/dɪˈziz/	/dɪˈziːz/	n	A condition that impairs the normal functioning of the body or mind.		enfermedad						maladie						Krankheit						malatia, dolenta						du mal/malattia												Curso::2A2 Curso::2A2::U2::Vocabulario Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Vocabulary::Health
doente		doente	o/a doente	/ˈɔɐ duˈẽtɨ/	/ˈɔɐ doˈẽtʃi/	s m/f	Pessoa que sofre de uma doença.		sick						enfermo, a						malade						krank,																								Curso::2A2 Curso::2A2::U2::Vocabulario Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
dor		dor	a dor	/ɐ ˈdoɾ/	/a ˈdoʁ/	sf	"Sensação física ou emocional de sofrimento. Com ""d""."		pain						dolor						douleur						Schmerz						dolor						dolore												Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Vocabulary::Health Vocabulary::Love
enfraquecer		enfraquecer	enfraquecer	/ẽfɾɐkɨˈseɾ/	/ẽfɾakeˈseʁ/	v	Perder força ou tornar-se mais fraco.		weaken						debilitar						affaiblir						abschwächen						afeblir						indebolire												Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Vocabulary::Health
febre	"<img src=""_ter_febre.JPG"">"	febre	a febre	/ɐ ˈfɛbɾɨ/	/a ˈfɛbɾi/	sf	Elevação anormal da temperatura do corpo.		fever						fiebre						fièvre						Fieber						febra						febbre												Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
desfalecer (tr. e intr.)		desfalecer	desfalecer	/dɨʃfɐlɨˈseɾ/	/desfaleˈseʁ/	v	Perder as forças ou a consciência.	"<img src=""_desfalecer.JPG"">"	to faint						desfallecer						s'évanouir						ohnmächtig werden						desfalleixer						svenire												Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Vocabulary::Health Vocabulary::Love
ferir		ferir	ferir	/fɨˈɾiɾ/	/feˈɾiʁ/	v	"Causar dano físico ou emocional. Com ""F"""		to hurt						herir						blesser						verletzen						ferir						ferire												Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Vocabulary::Health Vocabulary::Love
pele	"<img src=""skin.JPG"">"	pele	a pele	/ɐ ˈpɛlɨ/	/a ˈpɛli/	sf	Órgão que reveste o corpo e atua como barreira de proteção.		skin	/ˈskɪn/	/ˈskɪn/	n	The outer covering of the body.		piel						peau						Haut						pell						pelle												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Corpo::Partes_do_Corpo Portugues::Vocabulario::Saude Vocabulary::Body::Body_Parts Vocabulary::Health
soluço	"<img src=""_soluco_hiccup_hipo.JPG"">"	soluço	o soluço	/u suˈlusu/	/u soˈlusu/	sm	Contração espasmódica que provoca aspirações bruscas de ar, originando um ruído particular à passagem pela glote. Choro, gemido		hiccup	/ˈhɪˌkəp/	/ˈhɪkʌp/	n	An involuntary spasm of the diaphragm causing a sudden sound.		hipo						hicte						Schluckauf						solucchio						sbadiglio												Curso::2A2 Portugues::Falso_Amigo Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
tremor	"<img src=""_tremor.JPG"">"	tremor	o tremor	/u tɾɨˈmɔɾ/	/u tɾeˈmɔʁ/	sm	Movimento involuntário e repetitivo do corpo ou de algo.		shake						temblo						tremblement						Erdbeben						tremor						tremore												Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Vocabulario::Festas::Halloween Vocabulary::Health
cancro		cancro	o cancro	/u ˈkɐ̃kɾu/	/u ˈkɐ̃kɾu/	sm	Termo usado em Portugal para designar a doença do câncer.		cancer	/ˈkʰænsə˞/	/ˈkʰænsə/	n	A disease characterized by uncontrolled cell growth in the body.		cáncer						cancer						Krebs						càncer						cancro												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
vacinação		vacinação	a vacinação	/ɐ vɐsinɐˈsɐ̃w̃/	/a vasinaˈsɐ̃w̃/	sf	O processo de administrar uma vacina para imunizar contra doenças.		vaccination	/ˌvæksəˈneɪʃən/	/ˌvæksɪˈneɪʃᵊn/	n	The act of administering a vaccine to protect against a specific disease.		vacunación						vaccination						Impfen						vacunació						vaccinazione												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
plaquetas		plaquetas	as plaquetas	/ɐʃ plɐˈkɛtɐʃ/	/aʃ plaˈkɛtas/	sfp	Fragmentos celulares presentes no sangue que ajudam na coagulação.		platelets	/ˈpleɪtləts/	/ˈpleɪtləts/	np	Small cell fragments in the blood that help with clotting.		plaquetas						plaquettes						Thrombozyten						plaquetes						piastrine												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Body::Blood Vocabulary::Health
histamina		histamina	a histamina	/ɐ iʃtɐˈminɐ/	/a istɐˈminɐ/	sf	Composto químico envolvido em reações alérgicas e inflamações.		histamine	/ˈhɪstəˌmin/	/ˈhɪstəmiːn/	n	A compound released during allergic reactions and inflammation.		histamina						histamine						Histamin						histamina						istamina												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
oxitocina		oxitocina	a oxitocina	/ɐ oʃituˈsinɐ/	/a oʃitoˈsinɐ/	sf	Hormônio relacionado ao vínculo afetivo e ao parto.		oxytocin	/ˌɑksɪˈtʰoʊsn̩/	/ˌɒksɪˈtʰəʊsɪn/	n	A hormone that plays a role in social bonding, childbirth, and lactation.		oxitocina						oocytocine						Oxytocin						oxitocina						ossitocina												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
pénis		pénis	o pénis	/u ˈpɛniʃ/	/u ˈpɛnis/	sm	Órgão sexual masculino.		penis	/ˈpʰinəs/	/ˈpʰiːnɪs/	nm	The external male genital organ used for reproduction and urination.		pene						penis						Penis						penis						penis												Vocabulary::Health Vocabulary::Reproductive_System::Male Vocabulary::Sexuality
axilas		axilas	as axilas	/ɐz ɐˈksilɐʃ/	/az akˈsilas/	sfp	Regiões do corpo localizadas abaixo dos ombros.		armpits	/ˈɑrmˌpɪts/	/ˈɑːmpɪts/	nfp	The hollow area under the shoulder where the arm joins the torso.		axilas						aisselles						Achseln						axil·les						ascelle												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
sistema reprodutivo		sistema reprodutivo	o sistema reprodutivo	/u siˈʃtɛmɐ ʁɨpɾuduˈtivu/	/u sisˈtɛmɐ ʁepɾoduˈtʃivu/	sm	Conjunto de órgãos responsáveis pela reprodução.		reproductive system	/ˌɹipɹəˈdəktɪv ˈsɪstəm/	/ˌriːprəˈdʌktɪv ˈsɪstəm/	n	The system of organs involved in producing offspring.		sistema reproductivo						système reproducteur						Fortpflanzungssystem						sistema reproductor						sistema riproduttivo												Portugues::Vocabulario::Saude Vocabulary::Health Vocabulary::Reproductive_System
sistema circulatório		sistema circulatório	o sistema circulatório	/u siˈʃtɛmɐ siɾkulɐˈtɔɾiu/	/u sisˈtɛmɐ siʁkulaˈtɔɾiu/	sm	Conjunto de órgãos que transportam sangue pelo corpo.		circulatory system	/ˈsɜ˞kjələˌtɔri ˈsɪstəm/	/ˈsɜ˞kjələˌtɔri ˈsɪstəm/	n	The system that circulates blood and lymph through the body.		sistema circulatorio						système circulatoire						Kreislaufsystem						sistema circulatori						sistema circolatorio												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
sistema respiratório		sistema respiratório	o sistema respiratório	/u siˈʃtɛmɐ ʁɨʃpiɾɐˈtɔɾiu/	/u sisˈtɛmɐ ʁespiɾaˈtɔɾiu/	sm	Conjunto de órgãos responsáveis pela respiração.		respiratory system	/ˈɹɛspə˞ɹəˌtɔri ˈsɪstəm/	/rɪˈspɪrətᵊri ˈsɪstəm/	n	The system of organs responsible for breathing.		sistema respiratorio						système respiratoire						Atmungssystem						sistema respiratori						sistema respiratorio												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
sistema muscular		sistema muscular	o sistema muscular	/u siˈʃtɛmɐ muʃkuˈlaɾ/	/u sisˈtɛmɐ muskuˈlaʁ/	sm	Conjunto de músculos que permitem o movimento do corpo.		muscular system	/ˈməskjələ˞ ˈsɪstəm/	/ˈmʌskjʊlə ˈsɪstəm/	n	The system of muscles that allows movement of the body.		sistema muscular						système musculaire						Muskelsystem						sistema muscular						sistema muscolare												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
sistema linfático		sistema linfático	o sistema linfático	/u siˈʃtɛmɐ lĩˈfatiku/	/u sisˈtɛmɐ lĩˈfatʃiku/	sm	Conjunto de vasos e gânglios que transportam a linfa.		lymphatic system	/lɪmˈfætɪk ˈsɪstəm/	/lɪmˈfætɪk ˈsɪstəm/	n	The system that helps rid the body of toxins and waste, part of the immune system.		sistema linfático						système lymphatique						Lymphsystem						sistema limfàtic						sistema linfatico												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
linfa		linfa	a linfa	/ɐ ˈlĩfɐ/	/a ˈlĩfɐ/	sf	Líquido incolor que circula pelos vasos linfáticos.		lymph	/ˈlɪmf/	/ˈlɪmf/	n	A fluid containing white blood cells, part of the lymphatic system.		linfa						lympe						Lymphe						limfa						linfa												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
neurónios		neurónios	os neurónios	/uʒ newˈɾɔniuʃ/	/uʒ newˈɾɔnius/	smp	Células do sistema nervoso responsáveis pela transmissão de informações.		neurons	/ˈnʊrˌɑnz/	/ˈnjʊərɒnz/	np	The nerve cells that transmit information through electrical and chemical signals.		neuronas						neurones						Neuronen						neurones						neuroni												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
espinha dorsal		espinha dorsal	a espinha dorsal	/ɐ ˈʃpiɲɐ duɾˈsaɫ/	/a isˈpiɲɐ doʁˈsaw/	sf	Estrutura óssea que suporta o corpo e protege a medula espinhal.		spine	/ˈspaɪn/	/ˈspaɪn/	n	The column of vertebrae extending from the skull to the lower back, protecting the spinal cord.		espina dorsal						colonne vertébrale						Wirbelsäule						columna vertebral						colonna vertebrale												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
vértebra		vértebra	a vértebra	/ɐ ˈvɛɾtɨbɾɐ/	/a ˈvɛʁtebɾɐ/	sf	Osso que compõe a coluna vertebral.		vertebra	/ˈvɜ˞təbɹə/	/ˈvɜːtɪbrə/	n	A single bone in the spine.		vértebra						vertèbre						Wirbel						vertebra						vertebra												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
baço		baço	o baço	/u ˈbasu/	/u ˈbasu/	sm	Órgão linfático situado no lado esquerdo do abdome.		spleen	/ˈspliːn/	/ˈspliːn/	n	An organ in the abdomen involved in the production and removal of blood cells.		bazo						rate						Milz						mels						milza												Curso::2A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Body::Organs Vocabulary::Health
pâncreas		pâncreas	o pâncreas	/u ˈpɐ̃kɾiɐʃ/	/u ˈpɐ̃kɾias/	sm	Órgão que secreta enzimas digestivas e hormônios.		pancreas	/ˈpʰæŋkɹiəs/	/ˈpʰæŋkriəs/	n	An organ that produces insulin and digestive enzymes.		páncreas						pancréas						Bauchspeicheldrüse						pàncrees						pancreas												Vocabulary::Body::Organs Vocabulary::Digestive_System Vocabulary::Endocrine_System Vocabulary::Health
rins		rins	os rins	/uʒ ˈʁĩʃ/	/uʒ ˈʁĩs/	smp	Órgãos que filtram o sangue e produzem urina.		kidneys	/ˈkʰɪdniz/	/ˈkʰɪdniz/	nfp	Organs that filter waste products from the blood and produce urine.		riñones						reins						Nieren						ronyons						reni												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
veias		veias	as veias	/ɐʒ ˈvɐjɐʃ/	/aʒ ˈvejas/	sfp	Vasos sanguíneos que transportam sangue ao coração.		veins	/ˈveɪnz/	/ˈveɪnz/	np	Blood vessels that carry blood towards the heart.		venas						veines						Venen						venes						vene												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
artérias		artérias	as artérias	/ɐz ɐɾˈtɛɾiɐʃ/	/az aʁˈtɛɾias/	sfp	Vasos sanguíneos que transportam sangue do coração aos tecidos.		arteries	/ˈɑrtə˞ɹiz/	/ˈɑːtᵊriz/	np	Blood vessels that carry blood away from the heart.		arterias						artères						Arterien						artèries						arterie												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
entranhas		entranhas	as entranhas	/ɐʃ ẽˈtɾɐɲɐʃ/	/aʃ ẽˈtɾɐɲas/	sfp	Órgãos internos do corpo, especialmente do abdômen.		innards	/ˈɪnə˞dz/	/ˈɪnədz/	np	Internal organs, especially those in the abdominal cavity.		entrañas						tripes						Eingeweide						entranyes						viscere												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
intestino grosso		intestino grosso	o intestino grosso	/u ĩtɨˈʃtinu ˈɡɾɔsu/	/u ĩtesˈtʃinu ˈɡɾɔsu/	sm	Parte final do sistema digestivo, onde ocorre a absorção de água.		large intestine	/ˈlɑrdʒ ɪnˈtʰɛstən/	/ˈlɑːdʒ ɪnˈtʰestɪn/	n	The final section of the digestive system where water is absorbed.		intestino grueso						gros intestin						Dickdarm						intestí gros						intestino crasso												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
intestino delgado		intestino delgado	o intestino delgado	/u ĩtɨˈʃtinu dɛɫˈɡadu/	/u ĩtesˈtʃinu dɛwˈɡadu/	sm	Parte do sistema digestivo onde ocorre a maior parte da digestão.		small intestine	/ˈsmɔl ɪnˈtʰɛstən/	/ˈsmɔːl ɪnˈtʰestɪn/	n	The part of the digestive system where most nutrient absorption occurs.		intestino delgado						petit intestin						Dünndarm						intestí prim						intestino tenue												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
duodeno		duodeno	o duodeno	/u duuˈdɛnu/	/u duoˈdɛnu/	sm	A primeira parte do intestino delgado.		duodenum	/ˌduəˈdinəm/	/ˌdjuːəˈdiːnəm/	n	The first part of the small intestine, connecting to the stomach.		duodeno						duodénum						Duodenum						duodè						duodeno												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Digestive_System Vocabulary::Health
fígado		fígado	o fígado	/u ˈfiɡɐdu/	/u ˈfiɡadu/	sm	Órgão que realiza funções metabólicas e filtra toxinas.		liver	/ˈlɪvə˞/	/ˈlɪvə/	n	A large organ that processes nutrients and detoxifies chemicals in the body.		hígado						foie						Leber						fetge						fegato												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
arco do pé		arco do pé	o arco do pé	/u ˈaɾku du ˈpɛ/	/u ˈaʁku du ˈpɛ/	sm	Estrutura curva na parte inferior do pé.		arch of the foot	/ˈɑrtʃ əv ðə ˈfʊt/	/ˈɑːtʃ əv ðə ˈfʊt/	n	"The curved structure in the middle of the foot&#x27;s underside."		arco del pie						voûte plantaire						Fußgewölbe						arc del peu						volta plantare												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
ligamento		ligamento	o ligamento	/u liɡɐˈmẽtu/	/u liɡɐˈmẽtu/	sm	Tecido que conecta ossos ou articulações.		ligament	/ˈlɪɡəmənt/	/ˈlɪɡəmənt/	n	Tough connective tissue that connects bones or supports organs.		ligamento						ligament						Ligament						lligament						legamento												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
articulação		articulação	a articulação	/ɐ ɐɾtikulɐˈsɐ̃w̃/	/a aʁtʃikulaˈsɐ̃w̃/	sf	Conexão entre dois ossos.		joint	/ˈdʒɔɪnt/	/ˈdʒɔɪnt/	n	The location where two or more bones meet.		articulación						articulation						Gelenk						articulació						articolazione												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
pulso (mão)		pulso (mão)	o pulso	/u ˈpuɫsu/	/u ˈpuwsu/	sm	A região entre a mão e o antebraço.		wrist	/ˈɹɪst/	/ˈrɪst/	n	The joint connecting the hand to the forearm.		muñeca						poignet						Handgelenk						canell						polso												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
tendão		tendão	o tendão	/u tẽˈdɐ̃w̃/	/u tẽˈdɐ̃w̃/	sm	Estrutura fibrosa que conecta músculos a ossos.		tendon	/ˈtʰɛndən/	/ˈtʰendən/	n	A flexible cord of tissue that connects muscle to bone.		tendón						tendon						Sehne						tendó						tendine												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
unhas		unhas	as unhas	/ɐz ˈuɲɐʃ/	/az ˈuɲas/	sfp	Placas de queratina que cobrem as extremidades dos dedos.		nails	/ˈneɪlz/	/ˈneɪlz/	np	Protective keratin structures at the tips of fingers and toes.		uñas						ongles						Nägel						ungles						unghie												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
antebraço		antebraço	o antebraço	/u ɐ̃tɨˈbɾasu/	/u ɐ̃teˈbɾasu/	sm	A parte do braço entre o cotovelo e o pulso.		forearm	/ˈfɔrˌɑrm/	/ˈfɔːrˌɑːm/	n	The part of the arm between the elbow and wrist.		antebrazo						avant-bras						Unterarm						avantbraç						avambraccio												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
canelas (pernas)		canelas (pernas)	as canelas	/ɐʃ kɐˈnɛlɐʃ/	/aʃ kɐˈnɛlas/	sfp	Parte frontal da perna abaixo do joelho.		shins	/ˈʃɪnz/	/ˈʃɪnz/	nfp	The front parts of the legs below the knees.		espinillas						tibias						Schienbeine						canyes						stinchi												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
rosto		rosto	o rosto	/u ˈʁɔʃtu/	/u ˈʁɔstu/	sm	A parte frontal da cabeça, onde estão os olhos, nariz e boca.		face	/ˈfeɪs/	/ˈfeɪs/	n	The front part of the head, including the eyes, nose, and mouth.		rostro						visage						Gesicht						rostre						volto												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
cara		cara	a cara	/ɐ ˈkaɾɐ/	/a ˈkaɾɐ/	sf	Sinônimo de rosto, usado com frequência em linguagem coloquial.		face	/ˈfeɪs/	/ˈfeɪs/	n	The front part of the head, including the eyes, nose, and mouth.		cara						visage						Gesicht						cara						viso												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
poros		poros	os poros	/uʃ ˈpɔɾuʃ/	/uʃ ˈpɔɾus/	smp	Pequenas aberturas na pele através das quais o corpo transpira.		pores	/ˈpʰɔrz/	/ˈpʰɔːz/	np	Small openings in the skin that release sweat and oils.		poros						pores						Poren						porus						pori												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
sangue		sangue	o sangue	/u ˈsɐ̃ɡɨ/	/u ˈsɐ̃ɡi/	sm	Líquido que circula pelo sistema circulatório, transportando nutrientes e oxigênio.		blood	/ˈbləd/	/ˈblʌd/	n	The fluid circulating in the heart and blood vessels.		sangre						sang						Sang						sang						sangue												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
bandagens		bandagens	as bandagens	/ɐʒ bɐ̃ˈdaʒẽʃ/	/aʒ bɐ̃ˈdaʒẽs/	sfp	Tiras de tecido usadas para proteger ou imobilizar partes do corpo.		bandages	/ˈbændɪdʒəz/	/ˈbændɪdʒɪz/	np	Strips of material used to cover wounds or support injured body parts.		vendas						bandages						Bandagen						benes						bende												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
pestanas		pestanas	as pestanas	/ɐʃ pɨˈʃtɐnɐʃ/	/aʃ pesˈtɐnas/	sfp	Cílios que protegem os olhos.		eyelashes	/ˈaɪˌlæʃəz/	/ˈaɪlæʃɪz/	np	The hairs that grow on the edge of the eyelids, protecting the eyes.		pestañas						cils						Wimpern						pestanyes						ciglia												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
pêlos do corpo		pêlos do corpo	os pêlos do corpo	/uʃ ˈpeluʒ du ˈkɔɾpu/	/uʃ ˈpelus du ˈkɔʁpu/	smp	Fios de queratina que crescem na pele do corpo.		body hair	/ˈbɑdi ˈhɛr/	/ˈbɒdi ˈheə/	np	The hair that grows on various parts of the human body.		vello corporal						poils corporels						Körperbehaarung						pèls corporals						peli corporei												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
nuca		nuca	a nuca	/ɐ ˈnukɐ/	/a ˈnukɐ/	sf	A parte traseira do pescoço.		nape	/ˈneɪp/	/ˈneɪp/	n	The back of the neck.		nuca						nuque						Nacken						nuca						nuca												Portugues::Mesma_palavra_em_Espanhol Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
cérebro		cérebro	o cérebro	/u ˈsɛɾɨbɾu/	/u ˈsɛɾebɾu/	sm	Órgão central do sistema nervoso responsável pelas funções cognitivas.		brain	/ˈbɹeɪn/	/ˈbreɪn/	n	The organ in the skull responsible for thought, memory, and bodily functions.		cerebro						cerveau						Gehirn						cervell						cervello												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
cerebelo		cerebelo	o cerebelo	/u sɨɾɨˈbɛlu/	/u seɾeˈbɛlu/	sm	Parte do cérebro responsável pelo equilíbrio e coordenação motora.		cerebellum	/ˌsɛrəˈbɛləm/	/ˌserəˈbeləm/	n	A part of the brain that controls balance and coordination.		cerebelo						cervelet						Kleinhirn						cerebel						cervelletto												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
corpo (vivo)		corpo	o corpo	/u ˈkɔɾpu/	/u ˈkɔʁpu/	sm	A estrutura física de um ser vivo.		body	/ˈbɑdi/	/ˈbɒdi/	n	The physical structure of a living being.		cuerpo						corps						Körper						cos						corpo												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
pulmões		pulmões	os pulmões	/uʃ puɫˈmõj̃ʃ/	/uʃ puwˈmõj̃s/	smp	Órgãos responsáveis pela respiração.		lungs	/ˈləŋz/	/ˈlʌŋz/	np	Organs for breathing located in the chest.		pulmones						poumons						Lungen						pulmons						polmoni												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
apêndice		apêndice	o apêndice	/u ɐˈpẽdisɨ/	/u aˈpẽdʒisi/	sm	Prolongamento do intestino grosso, sem função aparente.		appendix	/əˈpʰɛndɪks/	/əˈpʰendɪks/	n	A small, tube-shaped sac attached to the large intestine.		apéndice						appendice						Blinddarm						apèndix						appendice												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
scurvy		escorbuto	o escorbuto	/u ʃkuɾˈbutu/	/u iskoʁˈbutu/	sm	Doença causada pela deficiência de vitamina C.		scurvy	/ˈskɜ˞vi/	/ˈskɜːvi/	n	A disease caused by vitamin C deficiency.		escorbuto						scorbut						Skorbut						escorbut						scorbuto												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
fone, auscultador		fone, auscultador	o fone, o auscultador			sm	Aparelho usado para ouvir sons de forma individual.		headset, headphone	/ˈhɛdˌsɛt | ˈhɛdˌfoʊn/	/ˈhedset | ˈhedˌfəʊn/	n	An audio device worn over the ears for private listening.		auricular, auriculares						casque, écouteurs						Kopfhörer, Kopfhörer						casc, auriculars						cuffia, auricolari												Curso::2A2 Curso::2A2::U4-Novas-Tecnologias Portugues::Vocabulario Portugues::Vocabulario::Saude Vocabulary::Health Vocabulary::Technology::2025
potável, potáveis (agua)		potável, potáveis	potável, potáveis			adj m / adj mp	Água própria para consumo humano.		drinkable						drinkable						potable						potable, potables						trinkbar, trinkbares						potable, potables												Curso::2A2 Portugues::Vocabulario Portugues::Vocabulario::Saude Vocabulary::Disasters::Dana Vocabulary::Health
