ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Portugues::Vocabulario::Animais Tags Vocabulary::Animals Vocabulary::Animals::Basic
determinado, determinada		determinado, determinada	determinado, determinada	/dɨ.tɨɾ.mi.ˈna.du/ ,  /dɨ.tɨɾ.mi.ˈna.dɐ/	/ deteʁmiˈnadu | deteʁmiˈnadɐ /	adj m/f	Que tem determinação ou firmeza.		determined	/dɪˈtɜ˞mənd/	/dɪˈtɜːmɪnd/				determinado							déterminé						bestimmt						determinat						determinato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
diligente		diligente	diligente	/dɨ.ɫɨ.ˈʒẽ.tɨ/	/ dʒiliˈʒẽtʃi /	adj m/f	Que trabalha com dedicação ou cuidado.		diligent	/ˈdɪlədʒənt/	/ˈdɪlɪdʒᵊnt/				diligente							diligent						fleißig						diligent						diligente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
dinâmico, dinâmica		dinâmico, dinâmica	dinâmico, dinâmica	/di.ˈnɐ.mi.ku/ ,  /di.ˈnɐ.mi.kɐ/	/ dʒiˈnɐmiku | dʒiˈnɐmikɐ /	adj m/f	Que tem energia ou é ativo.		dynamic	/daɪˈnæmɪk/	/daɪˈnæmɪk/				dinámico							dynamique						dynamisch						dinàmic						dinamico											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
distraído, distraída	<img src="_distracted.JPG">	distraído, distraída	distraído, distraída	/dɨʃ.tɾɐ.ˈi.du/ ,  /dɨʃ.tɾɐ.ˈi.dɐ/	/ dʒistɾaˈidu | dʒistɾaˈidɐ /	adj m/f	Que está desatento ou alheio.		distracted	/dɪˈstɹæktəd/	/dɪˈstræktɪd/				distraído							distrait						abgelenkt						distraigut						distrauto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
dócil	<img src="Ymir_Fritz.JPG">	dócil	dócil	/ˈdɔ.siɫ/	/ ˈdɔsiw /	adj m/f	Que é obediente ou facilmente controlável.		docile	/ˈdɑsəl/	/ˈdəʊsaɪl/				dócil							docile						gehorsam						dòcil						docile											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
educado, educada		educado, educada	educado, educada	/i.du.ˈka.du/ ,  /i.du.ˈka.dɐ/	/ iduˈkadu | iduˈkadɐ /	adj m/f	Que tem boas maneiras ou é cortês.		polite	/pəˈlaɪt/	/pəˈlaɪt/				educado							poli						höflich						educat						educato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
egocêntrico, egocêntrica		egocêntrico, egocêntrica	egocêntrico, egocêntrica	/i.gu.ˈsẽ.tɾi.ku/ ,  /i.gu.ˈsẽ.tɾi.kɐ/	/ iɡoˈsẽtɾiku | iɡoˈsẽtɾikɐ /	adj m/f	Que se preocupa apenas consigo mesmo.		egocentric	/ˌiɡoˈsɛntɹɪk/	/ˌiːɡəʊˈsentrɪk/				egocéntrico							égocentrique						egozentrisch						egocèntric						egocentrico											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
egoísta, egoísta	<img src="Greedy_Eren.png">	egoísta, egoísta	egoísta, egoísta	/i.gu.ˈiʃ.tɐ/ ,  /i.gu.ˈiʃ.tɐ/	/ iɡoˈistɐ | iɡoˈistɐ /	adj m/f	Que age pensando exclusivamente em si.		selfish	/ˈsɛlfɪʃ/	/ˈselfɪʃ/				egoísta							égoïste						egoistisch						egoista						egoista											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
espontâneo, espontânea		espontâneo, espontânea	espontâneo, espontânea	/ʃ.põ.ˈtɐ.ni.u/ ,  /ʃ.põ.ˈtɐ.ni.ɐ/	/ ispõˈtɐniu | ispõˈtɐniɐ /	adj m/f	Que age de forma natural ou sem planejamento.		spontaneous	/spɑnˈteɪniəs/	/spɒnˈteɪniəs/				espontáneo							spontané						spontan						espontani						spontaneo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
esquecido, esquecida		esquecido, esquecida	esquecido, esquecida	/ʃ.kɨ.ˈsi.du/ ,  /ʃ.kɨ.ˈsi.dɐ/	/ iskeˈsidu | iskeˈsidɐ /	adj m/f	Que tem dificuldade para lembrar-se de algo.		forgetful	/fə˞ˈɡɛtfəl/	/fəˈɡetfᵊl/				olvidadizo							oublieux						vergesslich						oblitidís						dimenticato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
estúpido, estúpida		estúpido, estúpida	estúpido, estúpida	/ʃ.ˈtu.pi.du/ ,  /ʃ.ˈtu.pi.dɐ/	/ isˈtupidu | isˈtupidɐ /	adj m/f	Que é tolo ou ignorante.		stupid	/ˈstupəd/	/ˈstjuːpɪd/				estúpido							stupide						dumm						estúpid						stupido											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
experiente		experiente	experiente	/ʃ.pɨ.ɾi.ˈẽ.tɨ/	/ iʃpeɾiˈẽtʃi /	adj m/f	Que tem experiência ou conhecimento em algo.		experienced	/ɪkˈspɪriənst/	/ɪkˈspɪəriᵊnst/				experimentado							expérimenté						erfahren						experimentat						espert											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
extrovertido, extrovertida		extrovertido, extrovertida	extrovertido, extrovertida	/ʃ.tɾu.vɨɾ.ˈti.du/ ,  /ʃ.tɾu.vɨɾ.ˈti.dɐ/	/ iʃtɾoveʁˈtʃidu | iʃtɾoveʁˈtʃidɐ /	adj m/f	Que é sociável ou desinibido.		extroverted	/ˈɛkstɹəˌvɜ˞təd/	/ˈekstrəvɜːtɪd/				extrovertido							extraverti						extrovertiert						extrovertit						estroverso											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
falso, falsa		falso, falsa	falso, falsa	/ˈfaɫ.su/ ,  /ˈfaɫ.sɐ/	/ ˈfawsu | ˈfawsɐ /	adj m/f	Que não é verdadeiro ou sincero.		FALSE	/ˈfɔks/	/ˈfəʊ/				falso							faux						falsch						fals						falso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
filantropo, filantropa		filantropo, filantropa	o filantropo, a filantropa	/fi.ɫɐ̃.ˈtɾo.pu/ ,  /fi.ɫɐ̃.ˈtɾo.pɐ/	/ filɐ̃ˈtɾɔpu | filɐ̃ˈtɾɔpɐ /	sm / sf	Pessoa que se dedica a ajudar os outros, geralmente com doações.		philanthropist	/fəˈlænθɹəpɪst/	/fɪˈlænθrəpɪst/				filántropo							philanthrope						Philanthrop						filantrop						filantropo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
firme		firme	firme	/ˈfiɾ.mɨ/	/ ˈfiʁmi /	adj m/f	Que tem estabilidade ou segurança.		firm	/ˈfɜ˞m/	/ˈfɜːm/				firme							ferme						fest						firm						fermo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
flexível	<img src="Sasha Playing with ODM Gear.gif">	flexível	flexível	/fɫɨ.ˈʃi.vɛɫ/	/ flekˈsivɛw /	adj m/f	Que se adapta facilmente ou é maleável.		flexible	/ˈflɛksəbəl/	/ˈfleksɪbᵊl/				flexible							souple						flexibel						flexible						flessibile											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
foleiro, foleira		foleiro, foleira	foleiro, foleira	/fu.ˈɫɐj.ɾu/ ,  /fu.ˈɫɐj.ɾɐ/	/ foˈlejɾu | foˈlejɾɐ /	adj m/f	Que é vulgar ou de mau gosto.		cheap	/ˈtʃip/	/ˈtʃiːp/				cutre							ringard						billig						barat						trasandato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
forrenta		forrenta	forrenta	/fu.ˈʁẽ.tɐ/	/ foˈʁẽtɐ /	adj f	Que demonstra cobiça ou ganância.		greedy	/ˈɡɹidi/	/ˈɡriːdi/				avaro							avare						geizig						avar						avaro											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
franco, franca		franco, franca	franco, franca	/ˈfɾɐ̃.ku/ ,  /ˈfɾɐ̃.kɐ/	/ ˈfɾɐ̃ku | ˈfɾɐ̃kɐ /	adj m/f	Que é sincero ou direto ao falar.		frank	/ˈfɹæŋk/	/ˈfræŋk/				franco							franc						direkt						franc						franco											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
generoso, generosa	<img src="Levi_Giving_Sweets.webp">	generoso, generosa	generoso, generosa	/ʒɨ.nɨ.ˈɾo.zu/ ,  /ʒɨ.nɨ.ˈɾo.zɐ/	/ ʒeneˈɾɔzu | ʒeneˈɾɔzɐ /	adj m/f	Que age com bondade ou generosidade.		generous	/ˈdʒɛnə˞ɹəs/	/ˈdʒenᵊrəs/				generoso							généreux						großzügig						generós						generoso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
gentil	<img src="Levi_Cat.jpg">	gentil	gentil	/ʒẽ.ˈtiɫ/	/ ʒẽˈtʃiw /	adj m/f	Que é amável ou atencioso.		gentle	/ˈdʒɛntl̩/	/ˈdʒentᵊl/				amable (con "g")			adj m/f				gentil						nett						gentil						gentile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
grosseiro, grosseira	<img src="shit_levi_says.png">	grosseiro, grosseira	grosseiro, grosseira	/gɾu.ˈsɐj.ɾu/ ,  /gɾu.ˈsɐj.ɾɐ/	/ ɡɾoˈsejɾu | ɡɾoˈsejɾɐ /	adj m/f	Que é rude ou sem refinamento.		coarse	/ˈkɔrs/	/ˈkɔːs/				grosero							grossier						grob						groller						grossolano											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
hábil	<img src="Levi Mikasa Eren.gif">	hábil	hábil	/ˈa.biɫ/	/ ˈabiw /	adj m/f	Que tem habilidade ou destreza em algo.		skillful	/ˈskɪlfəl/	/ˈskɪlfʊl/				hábil							habile						geschickt						hàbil						abile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
habilidosa, habilidosa	<img src="Mikasa_Mom_Stitching.jpg">	habilidoso, habilidosa	habilidoso, habilidosa	/ɐ.bɨ.ɫi.ˈdo.zɐ/ ,  /ɐ.bɨ.ɫi.ˈdo.zɐ/	/ abiliˈdɔzɐ | abiliˈdɔzɐ /	adj m/f	Que demonstra talento ou aptidão.		skillful	/ˈskɪlfəl/	/ˈskɪlfʊl/				hábil							habile						geschickt						hàbil						abile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
hipócrita		hipócrita	hipócrita	/i.ˈpɔ.kɾi.tɐ/	/ iˈpɔkɾitɐ /	adj m/f	Que finge ter virtudes ou sentimentos que não possui.		hypocrite	/ˈhɪpəˌkɹɪt/	/ˈhɪpəkrɪt/				hipócrita							hypocrite						Heuchler						hipòcrita						ipocrita											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
honesto, honesta		honesto, honesta	honesto, honesta	/o.ˈneʃ.tu/ ,  /o.ˈneʃ.tɐ/	/ oˈnɛstu | oˈnɛstɐ /	adj m/f	Que é íntegro ou digno.		honest	/ˈɑnəst/	/ˈɒnɪst/				honesto, honesta			adjm, adjf				honnête						ehrlich						honest						honesto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
humano, humana		humano, humana	humano, humana	/u.ˈmɐ.nu/ ,  /u.ˈmɐ.nɐ/	/ uˈmɐnu | uˈmɐnɐ /	adj m/f	Que demonstra compaixão ou bondade.		human	/ˈhjumən/	/ˈhjuːmən/				humano							humain						menschlich						humà						umano											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
humilde		humilde	humilde	/u.ˈmiɫ.dɨ/	/ uˈmiwdʒi /	adj m/f	Que é modesto ou simples.		humble	/ˈhəmbəl/	/ˈhʌmbᵊl/				humilde							humble						demütig						humil						umile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
imodesto, imodesta		imodesto, imodesta	imodesto, imodesta	/i.mu.ˈdeʃ.tu/ ,  /i.mu.ˈdeʃ.tɐ/	/ imoˈdɛstu | imoˈdɛstɐ /	adj m/f	Que não é modesto ou é exibido.		immodest	/ɪˈmɑdəst/	/ɪˈmɒdɪst/				indecoroso							immodeste						unbescheiden						immodest						immodesto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
impaciente		impaciente	impaciente	/ĩ.pɐ.si.ˈẽ.tɨ/	/ ĩpasiˈẽtʃi /	adj m/f	Que não tem paciência ou é facilmente irritável.		impatient	/ɪmˈpeɪʃənt/	/ɪmˈpeɪʃᵊnt/				impaciente							impatient						unerträglich						impacient						impaziente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
imprudente	<img src="Sasha Eating Eren.jpeg">	imprudente	imprudente	/ĩ.pɾu.ˈdẽ.tɨ/	/ ĩpɾuˈdẽtʃi /	adj m/f	Que age sem cautela ou cuidado.		imprudent	/ɪmˈpɹudn̩t/	/ɪmˈpruːdᵊnt/				imprudente							imprudent						unvorsichtig						imprudent						incauto											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
incauto, incauta		incauto, incauta	incauto, incauta	/ĩ.ˈkaw.tu/ ,  /ĩ.ˈkaw.tɐ/	/ ĩˈkawtu | ĩˈkawtɐ /	adj m/f	Que não toma precauções ou é ingênuo.		unwary	/ˌənˈwɛri/	/ʌnˈweəri/				incauto							étourdi						unvorsichtig						incaut						incauto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
indeciso, indecisa		indeciso, indecisa	indeciso, indecisa	/ĩ.dɨ.ˈsi.zu/ ,  /ĩ.dɨ.ˈsi.zɐ/	/ ĩdeˈsizu | ĩdeˈsizɐ /	adj m/f	Que tem dificuldade em tomar decisões.		indecisive	/ˌɪndɪˈsaɪsɪv/	/ˌɪndɪˈsaɪsɪv/				indeciso							indécis						unentschlossen						indecís						indeciso											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
indócil	<img src="Ymir_Eren_Rumbling_.jpg">	indócil	indócil	/ĩ.ˈdɔ.siɫ/	/ ĩˈdɔsiw /	adj m/f	Que é rebelde ou difícil de controlar.		unruly	/ˌənˈɹuli/	/ʌnˈruːli/				indócil							indocile						widerspenstig						indòcil						indocile											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
indolente		indolente	indolente	/ĩ.du.ˈɫẽ.tɨ/	/ ĩdoˈlẽtʃi /	adj m/f	Que é preguiçoso ou sem energia.		indolent	/ˈɪndələnt/	/ˈɪndᵊlᵊn/				indolente							indolent						träge						indolent						indolente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
inexperiente, inexperiente		inexperiente, inexperiente	inexperiente, inexperiente	/i.nɨʃ.pɨ.ɾi.ˈẽ.tɨ/ ,  /i.nɨʃ.pɨ.ɾi.ˈẽ.tɨ/	/ ineʃpeɾiˈẽtʃi | ineʃpeɾiˈẽtʃi /	adj m/f	Que não tem experiência ou prática em algo.		inexperienced	/ˌɪnɪkˈspɪriənst/	/ˌɪnɪkˈspɪəriənst/				inexperto							inexpérimenté						unerfahren						inexpert						inesperto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
inflexível		inflexível	inflexível	/ĩ.fɫɨ.ˈʃi.vɛɫ/	/ ĩflekˈsivɛw /	adj m/f	Que não se adapta ou é rígido.		inflexible	/ɪnˈflɛksəbəl/	/ɪnˈfleksɪbᵊl/				inflexible							inflexible						unflexibel						inflexible						inflessibile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
ingénuo, ingénua		ingénuo, ingénua	ingénuo, ingénua	/ĩ.ˈgɛ.nu.u/ ,  /ĩ.ˈgɛ.nu.ɐ/	/ ĩˈʒɛnuu | ĩˈʒɛnuɐ /	adj m/f	Que é inocente ou sem malícia.		naive	/nɑˈiv/	/naɪˈiːv/				ingenuo,a							naïf						naiv						ingenu						ingenuo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
inocente		inocente	inocente	/i.nu.ˈsẽ.tɨ/	/ inoˈsẽtʃi /	adj m/f	Que não tem culpa ou é puro.		innocent	/ˈɪnəsənt/	/ˈɪnəsᵊnt/				inocente							innocent						unschuldig						innocent						innocente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
inquieto , inquieta		inquieto, inquieta	inquieto, inquieta	/ĩ.ki.ˈe.tu / ,  /ĩ.ki.ˈe.tɐ/	/ ĩkiˈɛtu | ĩkiˈɛtɐ /	adj m/f	Que é agitado ou incapaz de ficar parado.		restless	/ˈɹɛstləs/	/ˈrestləs/				inquieto							agité						unruhig						inquiet						inquieto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
inseguro, insegura		inseguro, insegura	inseguro, insegura	/ĩ.sɨ.ˈgu.ɾu/ ,  /ĩ.sɨ.ˈgu.ɾɐ/	/ ĩseˈɡuɾu | ĩseˈɡuɾɐ /	adj m/f	Que não tem confiança ou segurança.		insecure	/ˌɪnsɪˈkjʊr/	/ˌɪnsɪˈkjʊə/				inseguro, insegura			adjm, adjf				insécurisé						unsicher						insegur						insicuro											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
insensível		insensível	insensível	/ĩ.sẽ.ˈsi.vɛɫ/	/ ĩsẽˈsivɛw /	adj m/f	Que não demonstra sentimentos ou empatia.		insensitive	/ɪnˈsɛnsətɪv/	/ɪnˈsensɪtɪv/				insensible							insensible						gefühllos						insensible						insensibile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
insociável, insociável	<img src="_levi_seious.jpg">	insociável, insociável	insociável, insociável	/ĩ.su.si.ˈa.vɛɫ/ ,  /ĩ.su.si.ˈa.vɛɫ/	/ ĩsosiˈavɛw | ĩsosiˈavɛw /	adj m/f	Que evita o convívio social.		unsociable	/ˌənˈsoʊʃəbəl/	/ʌnˈsəʊʃəbᵊl/				insociable							insociable						unsozial						insociable						insocievole											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
interesseiro, interesseira		interesseiro, interesseira	interesseiro, interesseira	/ĩ.tɨ.ɾɨ.ˈsɐj.ɾu/ ,  /ĩ.tɨ.ɾɨ.ˈsɐj.ɾɐ/	/ ĩteɾeˈsejɾu | ĩteɾeˈsejɾɐ /	adj m/f	Que age por interesse pessoal.		self-interested	/ˌsɛlfˈɪntɹəstəd/	/ˌselfˈɪntᵊrestɪd/				interesado							intéressé						interessiert						interessat						interessato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
intolerante		intolerante	intolerante	/ĩ.tu.ɫɨ.ˈɾɐ̃.tɨ/	/ ĩtoleˈɾɐ̃tʃi /	adj m/f	Que não aceita opiniões ou comportamentos diferentes.		intolerant	/ɪnˈtɑlə˞ɹənt/	/ɪnˈtɒlᵊrᵊnt/				intolerante							intolérant						intolerant						intolerant						intollerante											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
intransigente		intransigente	intransigente	/ĩ.tɾɐ̃.zɨ.ˈʒẽ.tɨ/	/ ĩtɾɐ̃siˈʒẽtʃi /	adj m/f	Que não cede ou é inflexível.		intransigent	/ɪnˈtɹænsədʒənt/	/ɪnˈtrænzɪdʒᵊnt/				intransigente							intransigeant						unversöhnlich						intransigent						intransigente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
irrequieto, irrequieta		irrequieto, irrequieta	irrequieto, irrequieta	/i.ʁɨ.ki.ˈe.tu/ ,  /i.ʁɨ.ki.ˈe.tɐ/	/ iʁekiˈɛtu | iʁekiˈɛtɐ /	adj m/f	Que é muito inquieto ou agitado.		restless	/ˈɹɛstləs/	/ˈrestləs/				inquieto							agité						unruhig						inquiet						inquieto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
janota		janota	janota	/ʒɐ.ˈno.tɐ/	/ ʒɐˈnɔtɐ /	adj m/f	Que se veste de forma elegante ou chamativa.		snappy	/ˈsnæpi/	/ˈsnæpi/				elegante (con "j")							snob						elegant						galant						elegante											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
jeitoso, jeitosa	<img src="Levi_Sewing_Machine.JPG">	jeitoso, jeitosa	jeitoso, jeitosa	/ʒɐj.ˈto.zu/ ,  /ʒɐj.ˈto.zɐ/	/ ʒejˈtɔzu | ʒejˈtɔzɐ /	adj m/f	Que é habilidoso ou atraente.		skillful	/ˈskɪlfəl/	/ˈskɪlfʊl/				hábil							habile						geschickt						habiletós						abile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
mal-disposto, mal-disposta	<img src="Levi Chibi Speaking.gif">&nbsp;<img src="Levi Injured No FIngers.gif">	mal-disposto, mal-disposta	mal-disposto, mal-disposta	/ˈmaɫ-dɨʃ.ˈpoʃ.tu/ ,  /ˈmaɫ-dɨʃ.ˈpoʃ.tɐ/	/ mawdʒisˈpɔstu | mawdʒisˈpɔstɐ /	adj m/f	Que está de mau humor ou indisposto.		ill-tempered	/ˈɪlˈtɛmpə˞d/	/ˌɪlˈtempəd/				mal dispuesto						de mauvaise humeur							übel gelaunt					de mal humor						mal disposto												Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Carácter Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
mal-humorado, mal-humorada	<img src="Levi Special Op Squad I.png">	mal-humorado, mal-humorada	mal-humorado, mal-humorada	/ˈmaɫ-u.mu.ˈɾa.du/ ,  /ˈmaɫ-u.mu.ˈɾa.dɐ/	/ mawumoˈɾadu | mawumoˈɾadɐ /	adj m/f	Que demonstra mau humor.		bad-tempered	/ˈbædˈtɛmpə˞d/	/ˌbædˈtempəd/				malhumorado							de mauvaise humeur						übel gelaunt						de mal humor						malumorato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
mal-intencionado, mal-intencionada	<img src="Moblit Nanny - LeviHan Kids - 01.jpg">	mal-intencionado, mal-intencionada	mal-intencionado, mal-intencionada	/ˈmaɫ-ĩ.tẽ.si.u.ˈna.du/ ,  /ˈmaɫ-ĩ.tẽ.si.u.ˈna.dɐ/	/ mawĩtẽsioˈnadu | mawĩtẽsioˈnadɐ /	adj m/f	Que age com más intenções.		ill-intentioned	/ˈɪlɪnˈtɛnʃənd/	/ˈɪlɪnˈtenʃənd/				malintencionado, malintencionada			adjm, adjf				malveillant						böswillig						malintencionat						male intenzionato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
malandro, malandra	<img src="Ackermans 03.jpg">	malandro, malandra	malandro, malandra	/mɐ.ˈɫɐ̃.dɾu/ ,  /mɐ.ˈɫɐ̃.dɾɐ/	/ maˈlɐ̃dɾu | maˈlɐ̃dɾɐ /	adj m/f	Que é esperto ou vive de maneira desonesta.		rascal	/ˈɹæskəl/	/ˈrɑːskᵊl/				pícaro							coquin						schlau						picardiós						malandrino											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
malicioso, maliciosa	<img src="Kenny.gif">	malicioso, maliciosa	malicioso, maliciosa	/mɐ.ɫɨ.si.ˈo.zu/ ,  /mɐ.ɫɨ.si.ˈo.zɐ/	/ malisiˈɔzu | malisiˈɔzɐ /	adj m/f	Que tem más intenções ou é irônico.		malicious	/məˈlɪʃəs/	/məˈlɪʃəs/				malicioso							malicieux						bösartig						maliciós						maligno											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
mandrião, mandriona		mandrião, mandriona	mandrião, mandriona	/mɐ̃.dɾi.ˈɐ̃w/ ,  /mɐ̃.dɾi.ˈo.nɐ/	/ mɐ̃dɾiˈɐ̃w̃ | mɐ̃dɾiˈonɐ /	adj m/f	Que é preguiçoso ou desocupado.		sluggish	/ˈsləɡɪʃ/	/ˈslʌɡɪʃ/				perezoso							paresseux						träge						mandrós						pigro											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
mau, má	<img src="Kenny_AU.jpg">	mau, má	mau, má	/ˈmaw/ ,  /ˈma/	/ ˈmaw | ˈma /	adj m/f	Que tem má índole ou qualidade ruim.		bad	/ˈbæd/	/ˈbæd/				malo							mauvais						schlecht						dolent						cattivo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
medroso, medrosa	<img src="Kitts_and_Rico_witness_Eren%27s_powers.webp">	medroso, medrosa	medroso, medrosa	/mɨ.ˈdɾo.zu/ ,  /mɨ.ˈdɾo.zɐ/	/ meˈdɾɔzu | meˈdɾɔzɐ /	adj m/f	Que demonstra medo ou falta de coragem.		fearful	/ˈfɪrfəl/	/ˈfɪəfᵊl/				miedoso							peureux						ängstlich						poruc						timoroso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
