#separator:tab
#html:true
#tags column:52
toalha de mesa	"<img src=""_mantel.JPG"">"	toalha de mesa	a toalha de mesa	/ɐ tuˈaʎɐ dɨ ˈmɛzɐ/	/a toˈaʎɐ dʒi ˈmɛzɐ/	sf	Pano usado para cobrir e decorar mesas.		tablecloth	/ˈteɪbəlˌklɔθ/	/ˈteɪbᵊlklɒθ/	n	A cloth used to cover a table.		mantel	/manˈtel/	/manˈtel/				nappe		/nap/				Tischdecke						estovalles						tovaglia												Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Casa::Cozinha::Utensílios Portugues::VOC::Casa::Tarefas_domésticas Vocabulary::House
polícia de intervenção	"<img src=""_policia_intervencao.JPG"">"	polícia de intervenção	a polícia de intervenção	/ɐ puˈlisiɐ dɨ ĩtɨɾvẽˈsɐ̃w̃/	/a poˈlisiɐ dʒi ĩteʁvẽˈsɐ̃w̃/	sf	Força policial especializada em controlar tumultos e situações críticas.		riot police	/ˈɹaɪət pəˈlis/	/ˈraɪət pəˈliːs/	n	A special unit of law enforcement trained to handle protests and riots.		policía antidisturbios						police d’intervention						Bereitschaftspolizei						policia d'intervenció						polizia di intervento												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Vocabulary::City Vocabulary::Police
logo (no primeiro ato)		logo	logo	/ˈlɔɡu/	/ˈlɔɡu/	adv	"Imediatamente; em breve; no início de algo. Com <b>""l"".</b>"	Logo no primeiro ato, dá-se o encontro entre as personagens opostas, David e André.																																											Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::Adverbios Portugues::Frases::LOGO Portugues::VOC
encontro	"<img src=""Erwins Birthday - DYFM - 02.png"">"	encontro	o encontro	/u ẽˈkõtɾu/	/u ẽˈkõtɾu/	sm	Reunião ou momento em que duas ou mais pessoas se encontram.		meeting	/ˈmitɪŋ/	/ˈmiːtɪŋ/	n	An organized gathering of people for discussion or planning.		encuentro						rencontre						Treffen						trobada						incontro												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Portugues::VOC::Pessoas::Tempo_livre Vocabulary::People Vocabulary::People::Relationships
infância	"<img src=""Chibis.jpg"">"	infância	a infância	/ɐ ĩˈfɐ̃siɐ/	/a ĩˈfɐ̃siɐ/	sf	Período da vida que vai do nascimento até a adolescência.		childhood	/ˈtʃaɪəldˌhʊd/	/ˈtʃaɪldhʊd/	n	The period of life from birth to adolescence.		infancia						enfance						Kindheit						infantesa						infanzia												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Ortografia Portugues::VOC Vocabulary::Family Vocabulary::People::Age
vítima	"<img src=""_63_Murderer_Police_Victim_Crime.JPG"">"	vítima	a vítima	/ɐ ˈvitimɐ/	/a ˈvitʃimɐ/	sf	Pessoa que sofre dano, crime ou tragédia.		victim	/ˈvɪktəm/	/ˈvɪktɪm/	n	A person harmed, injured, or affected by an event or action.		víctima						victime						Opfer						víctima						vittima												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Ortografia Portugues::VOC Vocabulary::Crime
violência	"<img src=""Levi_Kicking Eren.gif"">"	violência	a violência	/ɐ viuˈlẽsiɐ/	/a vioˈlẽsiɐ/	sf	Uso da força para causar dano físico ou psicológico.		violence	/ˈvaɪələns/	/ˈvaɪəlᵊns/	n	The use of physical force to cause harm or damage.		violencia						violence						Gewalt						violència						violenza												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Ortografia Portugues::VOC Vocabulary::Crime Vocabulary::Fighting
parelha	"<img src=""_parelha_de_bois.JPG"">"	parelha	a parelha	/ɐ pɐˈɾɐʎɐ/	/a paˈɾeʎɐ/	sf	Par ou dupla de elementos ou pessoas semelhantes. Nunca usar para os parceiros o namorados.		pair	/ˈpʰɛr/	/ˈpʰeə/	n	Two things or people that are matched or associated together.		pareja						paire						Paar						parella						coppia												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Falso_Amigo Portugues::VOC
estilista (moda)	"<img src=""_estilista-609428d13cf161356e128f79fe90a926f1a2e216.JPG"">"	estilísta	o/a estilista	/ˈɔɐ ʃtiˈliʃtɐ/	/ˈɔɐ istʃiˈlistɐ/	s m/f	Profissional que cria, desenha ou seleciona roupas e acessórios, atuando na moda.		fashion designer	/ˈfæʃən dɪˈzaɪnə˞/	/ˈfæʃᵊn dɪˈzaɪnə/	n	A person who creates clothing and accessory designs.		diseñador, diseñadora de moda						styliste						Modedesigner, Modedesignerin						dissenyador, dissenyadora de moda						stilista												Curso::1A2 Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Adjetivos Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Trabalho Portugues::VOC::Trabalho::Profissoes Vocabulary::People::Description
namorado,a	"<img src=""Green Tea - LeviHan - ByAllMeans - 06.jpg"">"	namorado, namorada	o namorado, a namorada	/u nɐmuˈɾadu | ɐ nɐmuˈɾadɐ/	/u nɐmoˈɾadu | a nɐmoˈɾadɐ/	sm, sf	Parceiro romântico em uma relação amorosa.		boyfriend, girlfriend	/ˈbɔɪˌfɹɛnd | ˈɡɜ˞lˌfɹɛnd/	/ˈbɔɪfrend | ˈɡɜːlfrend/	n	A romantic partner in a relationship.		novio, novia						petit ami, petite amie						Freund, Freundin						xicot, xicota						fidanzato, fidanzata												Curso::1A2 Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Livros::2A2-Cinco-minutos Portugues::VOC Portugues::VOC::Favoritos Portugues::VOC::Pessoas::Amor Portugues::VOC::Pessoas::Relações_entre_as_pessoas Vocabulary::Family Vocabulary::Love Vocabulary::People::Relationships
parceiro, a (amor)	"<img src=""Levi and Hange in Modern Clothing.jpg"">"	parceiro, parceira	o parceiro, a parceira	/u pɐɾˈsɐjɾu | ɐ pɐɾˈsɐjɾɐ/	/u paʁˈsejɾu | a paʁˈsejɾɐ/	s m/f	Pessoa com quem se mantém um relacionamento amoroso, sem necessariamente estarem casados.		partner	/ˈpʰɑrtnə˞/	/ˈpʰɑːtnə/	n	A person who shares in an activity, business, or relationship.		compañero, compañera (amor)						partenaire						Partner, Partnerin						parella						partner												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC
Omitir + mais-que-perfeito + Ser	Omitir	"<b><span style=""color: rgb(255, 85, 0);"">Mais-que-Perfeito</span> + <span style=""color: rgb(0, 85, 255);"">Ser</span></b>"	fora omitido	foras omitido	fora omitido	fôramos omitidos	foram omitidos						/ˈfɔɾɐ omiˈtidu/	/ˈfɔɾɐz omiˈtidu/	/ˈfɔɾɐ omiˈtidu/	/ˈfoɾɐmuz omiˈtiduʃ/	/ˈfɔɾɐ̃w̃ omiˈtiduʃ/																																		Portugues::Verbos::Mais-Que-Perfeito Portugues::Verbos::Mais-Que-Perfeito::Irregulares::ser-estar
Pôr + mais-que-perfeito + Ser	Pôr	"<b><span style=""color: rgb(255, 85, 0);"">Mais-que-Perfeito</span> + <span style=""color: rgb(0, 85, 255);"">Ser</span></b>"	fora posto	foras posto	fora posto	fôramos postos	foram postos						/ˈfɔɾɐ ˈpɔʃtu/	/ˈfɔɾɐʃ ˈpɔʃtu/	/ˈfɔɾɐ ˈpɔʃtu/	/ˈfoɾɐmuʃ ˈpɔʃtuʃ/	/ˈfɔɾɐ̃w̃ ˈpɔʃtuʃ/																																		Portugues::Verbos::Mais-Que-Perfeito Portugues::Verbos::Mais-Que-Perfeito::Irregulares::ser-estar
Prender + mais-que-perfeito + Ser	Prender	"<b><span style=""color: rgb(255, 85, 0);"">Mais-que-Perfeito</span> + <span style=""color: rgb(0, 85, 255);"">Ser</span></b>"	fora preso	foras preso	fora preso	fôramos presos	foram presos						/ˈfɔɾɐ ˈpɾɛzu/	/ˈfɔɾɐʃ ˈpɾɛzu/	/ˈfɔɾɐ ˈpɾɛzu/	/ˈfoɾɐmuʃ ˈpɾɛzuʃ/	/ˈfɔɾɐ̃w̃ ˈpɾɛzuʃ/																																		Portugues::Verbos::Mais-Que-Perfeito Portugues::Verbos::Mais-Que-Perfeito::Irregulares::ser-estar
Soltar + mais-que-perfeito + SER	Soltar	"<b><span style=""color: rgb(255, 85, 0);"">Mais-que-Perfeito</span> + <span style=""color: rgb(0, 85, 255);"">Ser</span></b>"	fora solto	foras solto	fora solto	fôramos soltos	foram soltos						/ˈfɔɾɐ ˈsɔɫtu/	/ˈfɔɾɐʃ ˈsɔɫtu/	/ˈfɔɾɐ ˈsɔɫtu/	/ˈfoɾɐmuʃ ˈsɔɫtuʃ/	/ˈfɔɾɐ̃w̃ ˈsɔɫtuʃ/																																		Portugues::Verbos::Mais-Que-Perfeito Portugues::Verbos::Mais-Que-Perfeito::Irregulares::ser-estar
Vir + mais-que-perfeito	Vir	"<b><span style=""color: rgb(255, 85, 0);"">Mais-que-Perfeito</span></b>"	tinha vindo	tinhas vindo	tinha vindo	tínhamos vindo	tinham vindo						/ˈtiɲɐ ˈvĩdu/	/ˈtiɲɐʒ ˈvĩdu/	/ˈtiɲɐ ˈvĩdu/	/ˈtiɲɐmuʒ ˈvĩdu/	/ˈtiɲɐ̃w̃ ˈvĩdu/																																		Portugues::Verbos::Mais-Que-Perfeito Portugues::Verbos::Mais-Que-Perfeito::U5-Eu-Ja-Tinha-Visto
Ver + mais-que-perfeito + Ser	Ver	"<b><span style=""color: rgb(255, 85, 0);"">Mais-que-Perfeito</span> + <span style=""color: rgb(0, 85, 255);"">Ser</span></b>"	fora visto	foras visto	fora visto	fôramos vistos	foram vistos						/ˈfɔɾɐ ˈviʃtu/	/ˈfɔɾɐʒ ˈviʃtu/	/ˈfɔɾɐ ˈviʃtu/	/ˈfoɾɐmuʒ ˈviʃtuʃ/	/ˈfɔɾɐ̃w̃ ˈviʃtuʃ/																																		Portugues::Verbos::Mais-Que-Perfeito Portugues::Verbos::Mais-Que-Perfeito::Irregulares::ser-estar
<b>Sérgio Godinho</b> (cantor)	"<div><strong>Sérgio Godinho</strong> é um dos mais importantes cantores, compositores e poetas portugueses. Nascido no <strong>31 de agosto de 1945, no Porto</strong>, ele é uma figura central da <strong>música popular portuguesa</strong>, sendo conhecido pelo seu estilo inovador, pelas suas letras poéticas e pelo forte teor social e político das suas canções.</div>
<h3><strong>Carreira e Influências</strong></h3>
<div>Durante os anos 60 e 70, viveu no estrangeiro, passando por países como França, Canadá e Holanda. Nesse período, absorveu diversas influências musicais e culturais, incluindo a <strong>chanson francesa</strong>, a <strong>folk music norte-americana</strong> e o <strong>tropicalismo brasileiro</strong>.</div>
<div>Regressou a Portugal em <strong>1974</strong>, pouco antes da Revolução dos Cravos, e tornou-se um dos músicos mais influentes da época, usando a sua música para expressar temas de liberdade, justiça e mudanças sociais.</div>
<h3><strong>Obras Mais Representativas</strong></h3>
<ul>
<li>
<div><strong>""Os Sobreviventes"" (1971)</strong> – Álbum de estreia, um dos mais marcantes da música portuguesa.</div>
</li>
<li>
<div><strong>""Pré-Histórias"" (1972)</strong> – Consolidou o seu estilo único, com letras inteligentes e críticas.</div>
</li>
<li>
<div><strong>""À Queima-Roupa"" (1974)</strong> – Um dos álbuns mais importantes do período pós-revolução.</div>
</li>
<li>
<div><strong>""Pano-Cru"" (1978)</strong> – Um dos seus trabalhos mais conhecidos, com músicas icônicas.</div>
</li>
<li>
<div><strong>""Na Vida Real"" (1986)</strong> – Um disco mais introspectivo e sofisticado.</div>
</li>
<li>
<div><strong>""Nação Valente"" (2018)</strong> – Um dos seus trabalhos mais recentes, mantendo a sua identidade e relevância.</div>
</li>
</ul>
<div>Além da sua carreira musical, <strong>Sérgio Godinho também é escritor, ator e realizador</strong>, tendo participado em diversos projetos culturais ao longo das décadas.</div>
<div>Com mais de <strong>50 anos de carreira</strong>, ele continua a ser uma referência na música portuguesa, influenciando novas gerações de artistas e mantendo-se fiel ao seu estilo único e à sua visão crítica do mundo. 🎶</div>"																																																		Curso::2A2::Pessoalidades Curso::2A2::vocabulario_em_clase My_Mess::Tarjeta-Sola::Pessoalidades Portugues::VOC
<b>Tiago Bettencourt</b> (Cantor)	"<div><strong>Tiago Bettencourt</strong> é um cantor, compositor e músico português, conhecido pelo seu estilo único que mistura <strong>rock alternativo, folk e música popular portuguesa</strong>.</div>
<strong>Infância e Início de Carreira</strong>
<div>Nascido a <strong>16 de setembro de 1979, em Coimbra</strong>, Tiago cresceu em Lisboa e cedo demonstrou interesse pela música. Estudou arquitetura, mas a paixão pela arte sonora acabou por o levar a dedicar-se inteiramente à música.</div>
<div>Nos anos 2000, fundou a banda <strong>Toranja</strong>, que rapidamente ganhou notoriedade em Portugal com canções como <strong>""Carta""</strong> e <strong>""Laços""</strong>. O álbum de estreia, <strong>""Esquissos"" (2003)</strong>, tornou-se um sucesso, consolidando o grupo como uma das referências da música portuguesa da época.</div>
<strong>Carreira a Solo</strong>
<div>Após o hiato de <strong>Toranja</strong>, Tiago Bettencourt lançou-se numa carreira a solo, explorando novas sonoridades e aprofundando a sua identidade artística. Trabalhou com diversos produtores e músicos, incluindo a banda <strong>Mantha</strong>, que o acompanhou nos primeiros anos do seu percurso individual.</div>
<h3><strong>Álbuns e Canções Mais Conhecidas</strong></h3>
<ul>
<li>
<div><strong>""O Jardim"" (2007)</strong> – Primeiro álbum a solo, com músicas como <strong>""Canção Simples""</strong> e <strong>""O Jogo""</strong>.</div>
</li>
<li>
<div><strong>""Em Fuga"" (2010)</strong> – Inclui faixas marcantes como <strong>""Só Mais Uma Volta""</strong> e <strong>""Chocámos Tu e Eu""</strong>.</div>
</li>
<li>
<div><strong>""Do Princípio"" (2014)</strong> – Destaca-se a canção <strong>""Aquilo Que Eu Não Fiz""</strong>, um dos seus maiores sucessos.</div>
</li>
<li>
<div><strong>""A Procura"" (2017)</strong> – Traz temas como <strong>""Partimos a Pedra""</strong> e <strong>""Se Me Deixasses Ser""</strong>.</div>
</li>
<li>
<div><strong>""2019 Rumo ao Eclipse"" (2021)</strong> – Trabalho mais recente, com letras introspectivas e sonoridade refinada.</div>
</li>
</ul>
<strong>Estilo e Influência</strong>
<div>Tiago Bettencourt é reconhecido pela sua <strong>poética sofisticada</strong>, pelo uso de <strong>metáforas intensas</strong> e pela capacidade de combinar <strong>sons contemporâneos com raízes da música portuguesa</strong>. A sua voz distinta e interpretação emotiva fazem dele uma referência no panorama musical nacional.</div>
<div>Com uma carreira sólida e contínua, ele mantém-se como um dos mais respeitados cantautores de Portugal, influenciando novas gerações de músicos. 🎶</div>"																																																		Curso::2A2::Pessoalidades Curso::2A2::vocabulario_em_clase My_Mess::Tarjeta-Sola::Pessoalidades Portugues::VOC
<b>Palácio Nacional de Sintra</b>	"<div>O <strong>Palácio Nacional de Sintra</strong>, também conhecido como <strong>Palácio da Vila</strong>, é um dos monumentos históricos mais emblemáticos de Portugal. Localizado no coração da vila de <strong>Sintra</strong>, é famoso pelas suas <strong>chaminés cônicas</strong>, pela sua mistura de estilos arquitetônicos e pela rica história ligada à monarquia portuguesa.</div><div><br></div>
<strong>1. História e Origem</strong>
<ul>
<li>
<div>As origens do palácio remontam à época <strong>moura</strong> (século X ou XI), quando existia um palácio islâmico no local.</div>
</li>
<li>
<div>Após a <strong>Reconquista Cristã</strong>, o edifício foi transformado e ampliado pelos reis portugueses.</div>
</li>
<li>
<div>Foi residência real contínua desde o século XIV até ao XIX, tornando-se um dos <strong>palácios medievais mais bem preservados</strong> de Portugal.</div>
</li>
</ul>
<strong>2. Arquitetura e Estilos</strong>
<ul>
<li>
<div>O palácio reflete uma fusão de estilos <strong>gótico, manuelino, mudéjar e renascentista</strong>.</div>
</li>
<li>
<div>As <strong>duas chaminés gigantes</strong>, que pertencem à cozinha real, são um dos seus elementos mais icônicos.</div>
</li>
<li>
<div>Destacam-se também os <strong>azulejos mudéjares</strong>, considerados dos mais importantes de Portugal.</div>
</li>
</ul>
<strong>3. Salas e Elementos Notáveis</strong>
<ul>
<li>
<div><strong>Sala dos Cisnes</strong> – Decorada com pinturas de cisnes no teto, símbolo de pureza e nobreza.</div>
</li>
<li>
<div><strong>Sala das Pegas</strong> – O teto apresenta dezenas de pegas segurando fitas com a frase <strong>""Por Bem""</strong>, possivelmente relacionadas a um episódio da corte de D. João I.</div>
</li>
<li>
<div><strong>Sala dos Brasões</strong> – Um dos espaços mais impressionantes, com uma cúpula decorada com os brasões das mais importantes famílias nobres de Portugal.</div>
</li>
<li>
<div><strong>Quarto de D. Sebastião</strong> – O local onde, segundo a lenda, o rei teria dormido antes de desaparecer na Batalha de Alcácer Quibir.</div>
</li>
</ul>
<strong>4. Curiosidades</strong>
<ul>
<li>
<div>O Palácio Nacional de Sintra sobreviveu ao <strong>terremoto de 1755</strong>, ao contrário de muitos outros edifícios históricos.</div>
</li>
<li>
<div>Foi um dos locais favoritos da <strong>rainha D. Maria Pia</strong>, esposa de D. Luís I, que o modernizou no século XIX.</div>
</li>
<li>
<div>Faz parte da <strong>Paisagem Cultural de Sintra</strong>, classificada como <strong>Patrimônio Mundial da UNESCO</strong>.</div>
</li>
</ul>
<div>Hoje, o Palácio Nacional de Sintra é um dos monumentos <strong>mais visitados de Portugal</strong>, atraindo turistas fascinados pela sua história, arquitetura e atmosfera única. 🏰✨</div>"																																																		Curso::2A2::Locais Curso::2A2::vocabulario_em_clase My_Mess::Tarjeta-Sola::Portugal::Sintra Portugues::VOC
<b>Quinta da Regaleira</b> (Sintra)	"<div>A <strong>Quinta da Regaleira</strong>, localizada em <strong>Sintra</strong>, é um dos lugares mais misteriosos e fascinantes de Portugal. Com um <strong>palácio neomanuelino</strong>, jardins exuberantes, lagos, grutas e estruturas simbólicas, é um local cheio de referências <strong>esotéricas, alquímicas, templárias e maçônicas</strong>.</div>

<h3><strong>1. História e Origem</strong></h3>
<ul>
<li>
<div>A propriedade teve vários donos ao longo dos séculos, mas a sua configuração atual foi criada por <strong>António Augusto Carvalho Monteiro</strong>, um milionário e colecionador apaixonado por simbologia e misticismo.</div>
</li>
<li>
<div>Entre <strong>1904 e 1910</strong>, ele encomendou ao arquiteto italiano <strong>Luigi Manini</strong> a transformação da quinta num lugar repleto de referências ocultistas e filosóficas.</div>
</li>
</ul>

<h3><strong>2. O Palácio e os Jardins</strong></h3>
<ul>
<li>
<div>O <strong>Palácio da Regaleira</strong> mistura estilos <strong>neomanuelino, neogótico e neorrenascentista</strong>, destacando-se pela sua fachada detalhada e interiores luxuosos.</div>
</li>
<li>
<div>Os <strong>jardins</strong> estão cheios de elementos enigmáticos, como <strong>torres, grutas, lagos e caminhos subterrâneos</strong>.</div>
</li>
</ul>

<h3><strong>3. Elementos Simbólicos e Místicos</strong></h3>
<ul>
<li>
<div><strong>Poço Iniciático</strong> – Uma torre subterrânea em espiral, ligada a rituais da <strong>Maçonaria</strong> e dos <strong>Templários</strong>, simbolizando a jornada do conhecimento.</div>
</li>
<li>
<div><strong>Poço Imperfeito</strong> – Outro poço misterioso, mas de menor profundidade.</div>
</li>
<li>
<div><strong>Capela da Santíssima Trindade</strong> – Pequena capela decorada com símbolos alquímicos e templários.</div>
</li>
<li>
<div><strong>Portal dos Guardiões</strong> – Uma estrutura imponente com escadarias secretas e entrada para túneis subterrâneos.</div>
</li>
<li>
<div><strong>Grutas e túneis secretos</strong> – Conectam diversos pontos da quinta, remetendo a ritos iniciáticos.</div>
</li>
</ul>

<h3><strong>4. Curiosidades</strong></h3>
<ul>
<li>
<div>O nome <strong>""Regaleira""</strong> vem de uma antiga proprietária, <strong>Baronesa da Regaleira</strong>.</div>
</li>
<li>
<div>Carvalho Monteiro, grande entusiasta do ocultismo, queria criar um <strong>“templo de sabedoria”</strong>, onde os visitantes pudessem explorar símbolos místicos.</div>
</li>
<li>
<div>O local foi abandonado e restaurado várias vezes até ser adquirido pela <strong>Câmara Municipal de Sintra</strong> nos anos 90 e aberto ao público.</div>
</li>
<li>
<div><strong>Hoje é um dos locais mais visitados de Sintra</strong>, sendo um dos <strong>principais símbolos do romantismo e do misticismo português</strong>.</div>
</li>
</ul>
<div>A <strong>Quinta da Regaleira</strong> é um verdadeiro labirinto de símbolos e segredos, atraindo quem busca cultura, mistério e aventura. ✨🔮</div>"																																																		Curso::2A2::Locais Curso::2A2::vocabulario_em_clase My_Mess::Tarjeta-Sola::Portugal::Sintra Portugues::VOC
As Doce (Banda)	"<div><strong>As Doce</strong> foram uma das <strong>bandas femininas mais icônicas da música portuguesa</strong>, especialmente durante os anos <strong>1980</strong>. Inspirado por grupos como as <strong>ABBA</strong>, o quarteto destacou-se pelo seu estilo pop-disco, figurinos ousados e uma forte presença no cenário musical português.</div>

<h3><strong>1. Formação e Início da Carreira</strong></h3>
<ul>
<li>
<div>O grupo foi criado em <strong>1979</strong> por <strong>Tozé Brito</strong>, um dos principais compositores e produtores da época.</div>
</li>
<li>
<div>As integrantes originais eram <strong>Laura Diogo, Fátima Padinha, Teresa Miguel e Lena Coelho</strong>.</div>
</li>
<li>
<div>Surgiram num período em que as girl bands eram uma novidade em Portugal e rapidamente conquistaram o público.</div>
</li>
</ul>

<h3><strong>2. Sucesso e Principais Canções</strong></h3>
<ul>
<li>
<div>Lançaram vários sucessos, como:</div>
<ul>
<li>
<div><strong>""Amanhã de Manhã""</strong> (1980) – Um dos maiores êxitos da banda.</div>
</li>
<li>
<div><strong>""Bem Bom""</strong> (1982) – Canção com a qual representaram Portugal no <strong>Festival Eurovisão da Canção</strong>.</div>
</li>
<li>
<div><strong>""Ali Babá""</strong> e <strong>""OK KO""</strong> – Outros hits que marcaram a década.</div>
</li>
</ul>
</li>
<li>
<div>As Doce eram conhecidas pelo seu som pop moderno, influenciado pela música disco e sintetizadores, além das letras cativantes.</div>
</li>
</ul>

<h3><strong>3. Eurovisão e Impacto Cultural</strong></h3>
<ul>
<li>
<div>Em <strong>1982</strong>, participaram no <strong>Festival Eurovisão da Canção</strong> com <strong>""Bem Bom""</strong>, alcançando o 13.º lugar.</div>
</li>
<li>
<div>A banda teve uma grande influência na cultura pop portuguesa, sendo uma das primeiras formações femininas de sucesso no país.</div>
</li>
<li>
<div>Seu estilo irreverente e figurinos coloridos marcaram a estética da época.</div>
</li>
</ul>

<h3><strong>4. Separação e Legado</strong></h3>
<ul>
<li>
<div>O grupo acabou por se dissolver em <strong>1986</strong>, com algumas das integrantes seguindo carreiras a solo.</div>
</li>
<li>
<div>Em <strong>2021</strong>, foi lançado o filme <strong>""Bem Bom""</strong>, que conta a história da banda.</div>
</li>
<li>
<div>Hoje, As Doce são lembradas como um <strong>fenômeno musical</strong> que ajudou a modernizar o pop português e a abrir caminho para futuras artistas femininas no país.</div>
</li>
</ul>
<div>🎤✨ <strong>As Doce continuam a ser um símbolo dos anos 80 em Portugal, com músicas que ainda são lembradas e celebradas.</strong></div>"																																																		Curso::2A2::Pessoalidades Curso::2A2::vocabulario_em_clase My_Mess::Tarjeta-Sola::Pessoalidades Portugues::VOC Vocabulary::80s
cinema (lugar)	"<img src=""_cinema.JPG"">"	cinema	o cinema	/u siˈnɛmɐ/	/u siˈnɛmɐ/	sm	Lugar onde se exibem filmes; a arte cinematográfica.		cinema, movie theater (US)	/ˈsɪnəmə | ˈmuvi ˈθiətə˞ /	/ˈsɪnəmə | ˈmuːvi ˈθɪətə /	n	A place where films are shown.		cine						cinéma						Kino						cinema						cinema												Curso::1C1 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::VOC::Cidade::Locais Vocabulary::City Vocabulary::Film
calão		calão	o calão	/u kɐˈlɐ̃w̃/	/u kaˈlɐ̃w̃/	sm	Linguagem informal ou gíria, muitas vezes grosseira usada em certos grupos sociais ou região.		slang	/ˈslæŋ/	/ˈslæŋ/	n	Informal or colloquial language, often specific to a social group or region.		argot						argo						Jargon						argot						gergo												Curso::2A2::U3-Como-Era-a-Tua-Escola::Cinderela-Calao Curso::2A2::vocabulario_em_clase Portugues::VOC
Cinderella (conto)		Cinderella	Cinderella			sm	Nome próprio da personagem do conto de fadas.																																												Curso::2A2::U3-Como-Era-a-Tua-Escola::Cinderela-Calao Curso::2A2::vocabulario_em_clase Portugues::VOC
velhotes		velhotes	os velhotes	/uʒ vɨˈʎɔtɨʃ/	/uʒ veˈʎɔtes/	smp	Pessoas idosas, muitas vezes usado de forma carinhosa.		old folks	/ˈoʊld ˈfoʊks/	/ˈəʊld ˈfəʊks/	n	Elderly people, often used affectionately.		ancianos						vieux						alte Leute						vells						anziani												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Portugues::VOC::Pessoas::Descripçao Vocabulary::People::Age
velhote, velhota		velhote, velhota	o velhote, a velhota	/u vɨˈʎɔtɨ | ɐ vɨˈʎɔtɐ/	/u veˈʎɔtʃi | a veˈʎɔtɐ/	sm, sf	Pessoa idosa, pode ser usado de forma carinhosa ou pejorativa.		old man, old woman	/ˈoʊld ˈmæn | ˈoʊld ˈwʊmən/	/ˈəʊld ˈmæn | ˈəʊld ˈwʊmən/	n	An elderly person, can be used affectionately or pejoratively.		anciano, anciana						vieillard, vieille						alter Mann, alte Frau						vell, vella						anziano, anziana												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Portugues::VOC::Pessoas::Descripçao Vocabulary::People::Age
aos poucos		aos poucos	aos poucos	/ˈauʃ ˈpokuʃ/	/ˈaus ˈpokus/	adv	Gradualmente, pouco a pouco.																																												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Frases::Pouco Portugues::VOC
chulé		chulé	o chulé	/u ʃuˈlɛ/	/u ʃuˈlɛ/	sm	Cheiro desagradável dos pés suados.																																												Curso::2A2::U3-Como-Era-a-Tua-Escola::Cinderela-Calao Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Calao Portugues::VOC Vocabulary::Feet
cheirava chulé		cheirava chulé	cheirava chulé	/ʃɐjˈɾavɐ ʃuˈlɛ/	/ʃejˈɾavɐ ʃuˈlɛ/	exp	Tinha um cheiro ruim semelhante ao de pés suados.																																												Curso::2A2::U3-Como-Era-a-Tua-Escola::Cinderela-Calao Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Calao Portugues::VOC
Copenhaga	"<img src=""_Copenhaga.JPG"">"	Copenhaga	Copenhaga	/kupɨˈɲaɡɐ/	/kopeˈɲaɡɐ/	sf	Capital da Dinamarca.		Copenhagen	/ˌkoʊpənˈheɪɡən/	/ˌkəʊpənˈheɪɡən/	n	The capital of Denmark.		Copenhague						Copenhague						Kopenhagen						Copenhaguen						Copenaghen												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::City
